mainid,task_seq,title
1,1,第一話「竜剣士ディアドラ」
1,2,第二話「フードの女」
1,3,第三話「さよならを告ぐ者」
2,1,第一話：IDAスクールへようこそ
2,2,第二話：IDAスクールのウワサ
2,3,第三話：絶対零度の鎖
2,4,第四話：たったひとつの灯
3,1,第一話：海底の世界へ
3,2,第二話：オトヒメの謎
3,3,第三話：奪還!竜宮城
3,4,第四話：世界が海に沈む前に
4,1,第一話:迷い猫に誘われて
4,2,"第二話:父の意志,ホライ復興への道"
4,3,第三話:再訪 そして真相へ
5,1,第一話：IDAシティへようこそ！
5,2,第二話：新たなる事件 シティに迫る影
5,3,第三話：歩むべき道
5,4,第四話：天の揺り籠
6,1,第1話「時の輪廻に導かれし者たち」攻略
6,2,第2話「砂漠の真実は蜃気楼の彼方に」攻略
6,3,第3話「時を超えて魔女を追え！」攻略
6,4,第4話「時の輪廻を司るもの」攻略
7,1,第1話「闇に繋がる通信」
7,2,第2話「失われし叡智の書」
7,3,第3話「誇り高き叛逆者」
7,4,第4話「目醒めし者の名は…」
8,1,第1話「IDAスクールへようこそ！！」
8,2,第2話「ロード・オブ・マナ」
8,3,第3話「電影の迷い子」
8,4,第4話「邪悪なる聖母の檻」
